 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
1652352,201906,1801-2400,MSN.Airport,WI,190,9,150,,,VMC,10,,Daylight,12000,,,Personal,UAV - Unpiloted Aerial Vehicle,,,Other 107,None,Training,,Cruise,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other UAV Operator,Personal,Pilot Flying; Single Pilot,,Flight Crew Last 90 Days 10; Flight Crew Total 50; Flight Crew Type 4,,Situational Awareness,,,1652352,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Inflight Event / Encounter Loss Of Aircraft Control,,,,Other UAV Operator,General None Reported / Taken,Environment - Non Weather Related; Human Factors,Human Factors,"I was flying a small UAS. During the flight; the aircraft passed in front of the sun and I lost visual contact for approx. 10 seconds. Afterwards; I could not reacquire visual contact. I could hear the propeller and executed what I estimated was a 180 degree turn with the throttle at mid-position to bring the plane back to my location. After waiting approximately the time the plane had been flying away from me; I scanned the likely area of sky but could not see it. I then executed a 90-degree banked turns to put the increase the visibility of the plane (the plane was flying in a stabilized mode with a roll limit of 90 degrees; so full aileron stick-deflection would cause a consistent 90-degree bank angle). When I was unable to see the plane (I could still hear the propeller at this point) I executed a series of turns while monitoring the RSSI (receiver signal level transmitted from the plane back to the transmitter) and tried to find a course that would increase the RSSI level indicating the plane was flying closer. Unfortunately; the RSSI telemetry system is not very accurate at this range and I was unable to get a stable enough signal. At this point the telemetry link was lost (the transmitted signal has a substantially longer range). To minimize any potential damage on landing; I closed the throttle and applied full back elevator to slow the forward speed and descent rate until I estimated the plane would have landed (approximately one minute). The primary initiation of this event was a brief loss in awareness of the plane's path relative to the sun. Normally I avoid flying near the sun but in this case I misjudged.",,,,"UAV operator reported losing sight of the drone while controlling it in-flight.",
1662922,201907,1201-1800,ZOA.ARTCC,CA,,,,45000,,,,,Daylight,,,Center ZOA,Government,UAV - Unpiloted Aerial Vehicle,,2,Part 91,IFR,,,Cruise,,Class A ZZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZOA.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 11,,Situational Awareness; Communication Breakdown,Party1 ATC; Party2 ATC,,1662922,,,,,,,,,,,,ATC Issue All Types; Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,,Procedure; Human Factors,Human Factors,"Relieved Controller briefed that Aircraft X was holding in Guam airspace.  Reset times to keep from flight information automatically coordinating with Tokyo Center.  Aircraft entered ZOA airspace and eventually Tokyo airspace without correct coordination. A 'hold' button that keeps controller from being inundated with error messages would have solved problem.",,,,"Oakland Center Controller reported a UAV entered ZOA and Tokyo airspace without proper coordination.",
1664765,201906,0601-1200,RDU.Airport,NC,072,,88,,,VMC,,,Daylight,,,,,UAV - Unpiloted Aerial Vehicle,,1,Other 107,None,Other Structual inspection,,Cruise,,Class C RDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,Other drone operator,,Other / Unknown,Flight Crew Commercial,Flight Crew Last 90 Days 2; Flight Crew Total 20; Flight Crew Type 20,,Confusion; Situational Awareness; Training / Qualification,,,1664765,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,,Other drone operator,General None Reported / Taken,Company Policy; Human Factors,Human Factors,"This problem arose from confusing the aircraft manufacturer's Geo-fencing with requesting authorization to fly in controlled airspace. After successfully unlocking the manufacturer's Geo-fencing; I incorrectly assumed that I had authorization to fly in Class C airspace. This airspace violation was discovered by my manager during the monthly flight reviews. I now know the difference between unlocking the Geo-fencing and requesting authorization for flight. I will not take flights in controlled airspace until I have the FAA confirmation code.",,,,"UAV Operator reported entering Class C airspace without authorization.",
1665525,201907,1201-1800,ZZZ.ARTCC,US,145,15,,26000,,VMC,,,Daylight,,,Center ZZZ,Government,UAV - Unpiloted Aerial Vehicle,,,,IFR,Tactical,,Cruise,Direct; Vectors,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Government,Pilot Flying; Single Pilot,Flight Crew Multiengine; Flight Crew Flight Instructor; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Flight Crew Last 90 Days 50; Flight Crew Total 5000; Flight Crew Type 250,,Time Pressure; Situational Awareness; Confusion; Communication Breakdown,Party1 Flight Crew; Party2 ATC,,1665525,,,,,,,,,,,,ATC Issue All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control; Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Took Evasive Action,Aircraft; Manuals; Human Factors,Human Factors,"We were cleared direct to ZZZ at 26;000 feet on with Center. We were given a 20 degree right turn for traffic which we complied and then were told by Center Direct to ZZZ a few minutes later. Shortly after; we were cleared by center down to 22;000 feet. I had just read back the clearance and was about to start a descent when Center told us to maintain a 1500 FPM rate of descent down to 22;000 feet and then descend to 8;000 feet. We are unable to descend below 18;000 feet in that area due to our COA (Certificate of Authorization) with ATC. I believe the Controller was new to the area or unfamiliar with our UAS operations. I told the Controller that we were unable to comply with a descent below 18;000 feet. The Controller came back and told us we needed to maintain a 2500 FPM descent down to 22;000 feet and then pilot discretion to 8;000 feet. I did not comply with the clearance or start a descent as I told the Controller we were unable to descend below 18;000 feet and that we were a UAS. We are not able to descend below 18;000 feet until reaching the TFR which was about 100 miles away. Center said we were coming in broken and unreadable on the radio and I do not know if they heard us say unable. I did not want to start a descent until I had clarification from ATC about the clearance. ATC communicated to the other aircraft that was going to be a conflict that they needed to level off but the other aircraft was not able to understand ATC. I could tell the urgency in the Controller's voice when he told us we needed to start a 2500 FPM descent. I do not remember him ever saying immediately at anytime but I wanted to avoid a possible traffic conflict; so I manually took control and started an aggressive descent. The MQ9 is capable of a fast descent while under manual control but it increases workload dramatically and takes a little time to establish a fast descent. I was passing 25;500 feet when the Controller told us to maintain 26;000 feet if we had not started our descent. I told him we were descending and he asked us our descent rate. I was just passing 1500 FPM and reported it and he told us we were in violation of the clearance. I did not respond at this point due to radio delay and ATC not understanding us and focused on flying the aircraft. Once I was established in a steady descent; I had my [Second Officer] switch us to comm 2 and told ATC that we were descending to FL180 but unable to descend lower. ATC told us to maintain FL180 and proceed direct to ZZZ. I turned the aircraft towards ZZZ but due to the previous vectoring I did not have a new op mission set up yet and did not have time as I was still hand flying the MQ9 thought the level off at FL180. ATC told us that we were 10 degrees left of course and I turned right for a more direct route. After reestablishing all hold modes and changing the Emergency mission I got a mission set up to take us direct back to ZZZ. About 40 minutes later Center again told us to descend below 18;000 feet and again I had to again tell them unable. During the incident; myself and the [Second Officer] were extremely confused by Centers instructions as the Controller changed the clearance four if not five times every time they gave it. I did not want to start a descent until I had clarification on the clearance. I never once heard the Controller use the word immediately in the descent clearance and if he would have I would have complied immediately. As UAS operations become more numerous in the US; Controllers need to understand the limitations of UAS. There are delays with radio reception and transmission and UAS are not able to comply as fast as manned aircraft. In this situation; ATC would have been better off telling us to immediately descend if it was that urgent and I should have had my [Second Officer] switch to Com 2 as soon as we realized Center was having trouble understanding and tell ATC 'unable' loud and clear when they give us a clearance we cannot comply with instead wasting time trying to clarify.",,,,"A UAS pilot reported ATC issued confusing control instructions including a descent clearance below 18;000 feet even though the aircraft was not authorized to fly below 18;000 feet.",
1681935,201908,1201-1800,ZFW.ARTCC,TX,90,,400,,,VMC,Sunny/Clear/Calm Winds; 10,,Daylight,,,Center ZFW,Personal,UAV - Unpiloted Aerial Vehicle,,,Other 107,VFR,Other Photogrammetry,,Initial Climb,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Other Remote Pilot,Personal,Pilot Not Flying,,,,Situational Awareness; Training / Qualification; Human-Machine Interface,,,1681935,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; General Maintenance Action,Human Factors; Aircraft,Human Factors,"Once the team arrived in place; we made a short scouting in the search for a good spot for take-off and landing. Unfortunately; the property was almost inaccessible due to very dense vegetation and rocky paths around it. Consequently; we determined that the side of the road was good enough to set the ground base station and run the operations from there. We also made sure that there were no obstacles that could cause us losing the aircraft from line of sight. The weather was sunny with clear skies and the winds were calm. The assigned Pilot in Command was me but I was not the operator of the aircraft. Everything was set to run operations under the FAA Part 107 rules. The crew went through all the procedures to get the aircraft ready for flight; from visual inspection of the components to software system check; while I was thoroughly supervising every step. The mission was to fly autonomously over a specified terrain in a grid pattern; the way points were set on the ground station computer and successfully loaded into the aircraft's autopilot. After testing the control surfaces and motor health; and double-checking a good connection of the aircraft with the remote control; I gave the green light for the execution of the flight. The operator manually took off and flew the initial climb of the flight at full throttle. Once the operator saw that the plane was at a safe altitude for the autonomous mission to start; the operator switched to auto mode while failing to notice that the max throttle was still set. In the next 3 seconds; the operator relaxed his attention and failed to notice the aircraft deviating from the expected flight path. I saw that the plane started to bank to the right and began losing altitude rapidly. I notified the operator of the deviation; but he was unsure how to react. I was close enough to the operator for me to try to correct the deviation by reducing the throttle; which I did but it was too late. The plane was already diving head on to the ground and lost almost all its altitude; and we couldn't do anything else to save it other than killing the motor. The plane crashed not very far from the base station site; it was easily found and recovered. The plane suffered heavy damage to the point that it was not flyable. No collateral damage was found at the crash site.The autopilot was recovered from the plane and I got access to the SD card; in which the log of the flight was saved. The autopilot data showed that all internal components; such as the GPS; pitot tube; radio receiver and power module were within normal range during the short flight. A thorough analysis revealed that both GPS and pitot tube were reading extremely high airspeeds right before the plane went out of control; over 30m/s. The plane is cruise speed is rated at 16m/s; meaning that the plane was going more than double its cruise speed. Given that the plane is a flying wing with unstable yaw tendencies; I believe these tendencies were exacerbated at high speeds and a minor drag differential between the two wings was magnified. This caused the plane to bank and dive in. The autopilot's log also shows that it actually tried to correct this; however because the plane is made out of foam; the control surfaces might have flexed at high speeds; reducing their effectiveness to compensate. The probable cause of the incident was that the operator failed to reduce the throttle before switching to auto mode. A contributing factor was the operator's inexperience in reacting to unexpected situations during the mode transition. Some preventative actions are disable the manual throttle set point feature for the auto mode. This would give the autopilot full throttle control; which would have reduced the airspeed right after switching to auto mode from manual mode. If the manual throttle set point is necessary and is kept enabled; then include a verbal confirmation of proper throttle position by the operator before switching to auto mode. After the verbal confirmation; also have the pilot in command verify and approve the switch. Emphasize the operator to constantly pay attention and be prepared for unexpected aircraft behavior; in particular during flight mode transitions.",,,,"A drone operator reported their student lost control of the drone and it crashed.",
1687284,201909,0601-1200,I90.TRACON,TX,,,,23000,,,,,,,,TRACON I90,Military,UAV - Unpiloted Aerial Vehicle,,1,Part 91,VFR,,,Climb,None,Special Use W-ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRACON I90,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,FMS Or FMC,Initial Climb,,,,,,,,,,,,,,,,,,,,,,,,,,Facility I90.TRACON,,Government,Departure,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 7,,Communication Breakdown; Situational Awareness,Party1 ATC; Party2 ATC; Party2 Flight Crew,,1687284,,,,,,,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,,,Person Air Traffic Control,In-flight,,Human Factors; Procedure,Procedure,"Aircraft X drone departed from EFD airport with Aircraft Z chase plane both VFR. I assumed responsibility for the San Jac position while Aircraft X and Z were east of EFD airport at 025 MSL. The aircraft request to climb to 035; then 055; then 075 and proceeded outbound to the south; southeast on a profile routing. I pulled up the requested lost link W-ZZZ procedure in my overhead database and activated the map overlay on my display. The aircraft were pointed to intra-facility sectors via automation and then verbally pointed out to Houston Center off-shore sector. The aircraft had indicated that could maintain radio communications throughout his mission profile so elected to keep him on my frequency for a little longer. I asked the pilot if he was only going to climb to 095 as published in the profile. He replied affirmative. Prior to reaching point 9 on the route; I terminated radar services with the Aircraft X and Z flight; instructing them to remain on their current beacon codes and to advise me when they were inbound back to EFD airport. I later briefed the relieving controller of the situation and didn't think anything of it. The next day I was told that the Aircraft X had climbed as high as FL280 and at some point came in close proximity to Aircraft Y on departure. The chase plane had remained below 095 as published. Apparently the UAS operators from EFD had forwarded their weekly schedule to both Houston TRACON and Center. The schedule reflected the climb to flight levels on the appropriate day and time. The schedule was disseminated to the Front Line Supervisors; however the Controllers at the position were never briefed by the Supervisor that the altitudes would be non-standard. Better dissemination of information to the actual Controllers working the operation by both management and by the operator while on frequency. I definitely would have handed the aircraft off to Houston Center had I known their intention was to climb above 095 feet.",,,,"I90 Controller reported failure of facility to brief Controllers on tactical activities resulted in a UAV altitude deviation and conflict.",
1692946,201910,0601-1200,ZZZ.Airport,US,,,,3700,,VMC,10,,Daylight,,,TRACON ZZZ,,UAV - Unpiloted Aerial Vehicle,,1,Other 107,None,Other Research,,Climb,None,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,FCU (Flight Control Unit),,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,Other Remote,,Pilot Not Flying,,Flight Crew Last 90 Days 14.3; Flight Crew Total 170.1,,Situational Awareness,,,1692946,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Observer,In-flight,Flight Crew Landed in Emergency Condition; General Flight Cancelled / Delayed,Aircraft; Chart Or Publication,Aircraft,"I was the unmanned aerial system pilot-in-command. The rest of our crew consisted of a UAS operator and two ground station operators monitoring research data collected by the UAS and UAS altitude and airspeed data. The flight was conducted under part 91; with a certificate of authorization to operate up to 5000 feet. The standard flight profile for our operations with this unmanned aircraft consists of a stepped climb up to 6200 feet; and then a constant descent to land. Equipment on board the aircraft measures atmospheric parameters such as CO2 levels; temperature; relative humidity; and wind speed and direction throughout the profile. On the incident flight; we flew a different profile; consisting of a constant climb up to 6200 feet; and a stepped descent down. The takeoff and initial climb proceeded normally. As the aircraft climbed through approximately 3700 feet; we observed a long plume of white smoke start emitting from the aircraft. The emission lasted for approximately two seconds. The aircraft immediately lost engine power; but the control surfaces were still functional. The operator was able to glide the aircraft to a landing without further incident. The smoke plume was caused by the aircraft's electronic speed controller (ESC) burning out. There was no visible damage to the outside of the ESC; but we inferred there is significant internal damage as it was no longer functional after the incident. There was no damage to the battery or to the airframe. There were no injuries and no damage to property on the ground. Immediately after landing; I reported the incident to the NTSB Response Operations center telephone line. I believe the incident was caused by the prolonged climb which may have overheated the ESC; or possibly by use of an ESC with an incorrect amperage rating. As a corrective action; we may have to adjust the profile to avoid such prolonged climbs in the future. We could also reposition the ESC in a location which receives more cooling airflow.",,,,"A UAV Pilot in Command not flying reported the UAV lost power and was glided to a landing.",
1695063,201910,1201-1800,PIT.Airport,PA,157,7,100,,,VMC,,,Daylight,,,TRACON PIT,Other remote pilot,UAV - Unpiloted Aerial Vehicle,,1,Other 107,None,Other structural inspection,,Cruise,None,Class B PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Other Remote Pilot,Contracted Service,Other / Unknown,Other Remote Pilot,Flight Crew Last 90 Days 7; Flight Crew Total 7; Flight Crew Type 7,,Confusion; Situational Awareness,,,1695063,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Other Person,Routine Inspection,,Airport; Airspace Structure; Chart Or Publication,Chart Or Publication,"I looked up the address on FAA/UAS S Chart. I misinterpreted the LAANC grid. I thought below 400 feet was Class G airspace. This was discovered by the company that does monthly reviews. The manager of this program brought the violation to my attention. We got together and discussed misunderstanding of the airspace and will get the authorization in the future.",,,,"A Drone pilot reported a Class B airspace violation.",
1712204,201912,0001-0600,ZZZ.Airport,US,60,3,100,,,VMC,10,,Daylight,CLR,,,Personal,UAV - Unpiloted Aerial Vehicle,,1,Other Part 107,VFR,Personal,,Takeoff / Launch,Visual Approach,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Personal,Single Pilot; Pilot Flying,Flight Crew Commercial,Flight Crew Last 90 Days 0.6; Flight Crew Total 41; Flight Crew Type 41,,Fatigue; Training / Qualification; Communication Breakdown; Distraction,Party1 Flight Crew; Party2 ATC; Party2 Other,,1712204,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,Other Post Flight,General None Reported / Taken,Human Factors,Human Factors,"Unintentionally flew drone in ZZZ Class B airspace without authorization for 12 minutes.How the problem arose:1. I assumed authorization of an LAANC request without verifying a text authorization was received.2. A one minute miscalculation caused the LAANC rejection of flying at night. Sunset was at XA:23. Thirty minutes past sunset was XA:53. The request was submitted at XA:09 for a 45 minute flight which puts the request end time at XA:54; one minute past the 30 minute window following sunset.How it was discovered:After the flight I realized I had failed to check for a text message with authorization before takeoff. I found no text message on my phone. I even tried and failed to find a place to view my LAANC request history online to ensure the request had been authorized. In the AirMap app used to make the request; I found the rejected LAANC request in the Flights menu area. Not an area I normally review prior to a flight because it always appeared empty. I thought maybe a bug in the AirMap app or I just didn't understand the purpose of the section. Now I know; after some experimentation; it takes my app a great many seconds to populate Flights. While it loads data the AirMap app displays the message 'no current flights.' I assumed this meant it only displayed currently active flights. Wrong assumption. If you wait long enough it loads all your past requests. And that is how I found the rejection with the reason of flying at night right at the top of the list.Contributing Factors:Fatigue and rushing. Sunset nearing; losing the light. Soon people would be nearby and I did not want to risk flying over them. The scenario made me anxious and nervous and caused me to rush.It had been 3 months since my last LAANC request so I was out of practice using the app.My Conclusions:1. I should have recognized I was rushing and fatigued and slowed myself down or stopped altogether.2. I should have waited until I positively laid eyeballs on a text authorization and known exactly where to find the request status in the app if the text message is not received. Now I do; it's in the Flights menu.3. Had I discovered the rejection I could have easily re-entered with a reduced amount of time. The request would probably have been approved without issue. Of course there could still be other conditions that would cause a flight to be rejected.4. Reviewing AirMap operation; I believe I simply missed or misread the AirMap messages warning that my submission would be rejected. I believe now that I incorrectly pressed continue rather than cancel when asked if I want to continue the flight. This is why the flight timer started and I assumed an approved flight. Poor assumption.Remediations:Training. I have reviewed the AirMap app and believe I understand where my errors occurred and why. I will also look for a detailed training for the AirMap app to see if there are other information and safety features I am unaware of to prevent any future incidents. Authorize flight in advance when possible rather than at the scene immediately before the mission. This allows the request in a neutral environment and time for reflection and adjustment. I did not know until now how to authorize a flight in advance in AirMap. Moving forward I will use that feature.Self-evaluate for fatigue; nervousness or anxiety; etc before flight. Adjust pre-flight procedures. 1. Do not rush. 2. Self evaluate mental state (How are you feeling - BE HONEST). 3. Double check all LAANC request input parameters. READ all AirMap app prompts thoroughly.4. Submit LAANC request. 5. Verify LAANC authorization received in text message and in AirMap Flights menu section. 6. Unpack drone equipment. 7. Perform pre-flight equipment checks.",,,,"UAV pilot reported flying and not realizing authorization had been denied.",
1712281,201912,0001-0600,ZZZ.Airport,US,,0,,1400,,VMC,,,Daylight,CLR,,Tower ZZZ,Government,UAV - Unpiloted Aerial Vehicle,,1,Part 91,VFR,Training,,Cruise,Visual Approach,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Electrical Power,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Government,Pilot Flying; Single Pilot,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 37; Flight Crew Total 6435; Flight Crew Type 18,,Troubleshooting,,,1712281,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Loss Of Aircraft Control,,,Person Flight Crew,In-flight,Aircraft Aircraft Damaged,Aircraft,Aircraft,"UAV was flown on circular orbit that was within the fenced in area of ZZZ at 1;400 [feet] MSL. Up to the point of the accident; the flight lasted for about 45 minutes (approximate) with no system anomalies noted. Location of the GCS was on the center infield at ZZZ. The operation was within line of sight involving the remote pilot at the GCS; a sensor operator sitting next to the remote pilot; and three visual spotters looking at the aircraft. The first indication that an onboard system malfunction had occurred was that the camera sensor stopped working. This was closely followed by one of the spotters telling the remote pilot that the aircraft appeared to be descending. The UAV autopilot was no longer responsive to the active orbit over the cornfield inside the ZZZ area and the aircraft descended to the point of impact in a driveway. Minor ground damage; occurred during the post-crash fire.The exact cause of the loss is not clear at this time but appears to be consistent with total onboard electrical system failure. The flight was conducted in strict conformance with the manufacturer checklist and Certificate of Waiver or Authorization. The flight was conducted using waypoint orbits over the airport property coupled to the autopilot. No anomalous annunciations were indicated at the Ground Control Station prior to the aircraft becoming unresponsive.According to the Manufacturer; Aircraft X has only one main electrical bus. All electrical consumers; including the autopilot; are connected onto that bus that is driven by a single voltage regulator. Aircraft Y; according to the manufacturer; has multiple; independent electrical buses which would reduce the probability of total electrical loss to the avionics.",,,,"Remote pilot reported a complete loss of control of UAV due to electrical failure.",
1721078,202001,1201-1800,RNO.Tower,NV,,,100,,,VMC,10,,Daylight,,,Tower RNO,Other UAV Pilot,UAV - Unpiloted Aerial Vehicle,,,Other Part 107,,Photo Shoot / Video,,Cruise,,Class C RNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Personal,Pilot Flying,,,,Situational Awareness; Confusion,,,1721078,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,Other Post Flight,,Company Policy; Human Factors; Procedure,Human Factors,"I the RPIC (Remote Pilot in Charge) called Tower per the instructions to inform them about the UAS operation that would be taking place within the next fifteen minutes at the location. Tower acknowledged the request and the RPIC conducted the mission. The RPIC called Tower at the conclusion of the operation. Tower acknowledged the message and the RPIC wrapped up for the night. Six days later the RPIC realized that he had flown outside of the Certificate of Authorization (COA) by flying a day earlier than what was specified in the COA (Certificate of Approval).The RPIC received a request to fly the Class C 0' Grid Area (Per the FAA UAS FM) so he determined that filing through Drone Zone with night operations included would be the fastest way to acquire the approval. RPIC advised the FAA representative; about his intentions for adding night operations was to be able to gain approval faster. The approval came in and the RPIC thought the timing was perfect and did not check the authorization start date on the authorization itself. He made the error because he was eager to be able to fly that area.The RPIC wanted to get the photos by deadline. The Operator was excited to have the COA in hand. The Operator expected the start date to be the same date as requested but the FAA changed the date to be the day after only on the COA but it was still shown as the requested date on Drone Zone. Drone Zone shows the Approved Start Date as one date and also shows that the modified Approved End Date was changed to three days later.",,,,"A UAS pilot operated their drone on a different day than what was approved by the FAA.",
1721727,202001,1201-1800,ZZZ.Airport,US,,5.6,,,,,,,,,,,Personal,UAV - Unpiloted Aerial Vehicle,,1,Other Part 107,,,,,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Other Business,Other / Unknown,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Commercial; Flight Crew Flight Instructor,,,Confusion,,,1721727,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,,General None Reported / Taken,Procedure; Human Factors,Procedure,"Submitted through APP for a clearance to fly my drone for a roof inspection on a house located 5.6 miles NW of ZZZ. The clearance was rejected for accidentally not submitting my phone number.  I started to re-request the clearance this time entering my phone number; and it went through an brought up the flight clock which my indication I was cleared.After returning home I went back into the App to review the times for the flight and I notice rejected was in the box for that flight. I believe I was cleared but the initial rejection stayed in the flight time box. I believe this can be confusing when resubmitting for a clearance.",,,,"UAV pilot reported not being completely sure if the drone had authorization to fly close to major airport or not.",
1728213,202002,0601-1200,PDK.Airport,GA,,,0,,,VMC,,,Daylight,,,,Personal,UAV - Unpiloted Aerial Vehicle,,,,,,,Cruise,,Class D PDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Personal,Other / Unknown,Flight Crew Commercial; Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Rotorcraft,,,,,,1728213,,,,,,,,,,,,Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Other Person,,General None Reported / Taken,Airspace Structure; Procedure,Ambiguous,"At the airport in Chamblee; GA; I observed then videoed a person flying a what appeared to be an older model white DJI Phantom drone above tree top level in a small open area 850ft from the 'Charley' helicopter pad (287 degrees magnetic from the pad) and about 500 ft from the approach path of Runway 16 at Peachtree Dekalb Airport PDK. The runway was active and in use by landing aircraft. A student pilot practicing in an R22 flew past the drone while landing on Runway 16 and apparently did not see it. I reported the drone activity to the Tower at PDK by telephone and they were unaware of the drone activity and could not see it from the Tower. The airport police were also notified when it was clear the person did not have permission to operate where he was flying. An R44 Helicopter was also flying over the area and didn't see the drone. This was also a training flight. I spoke to both pilots and neither saw the drone. The helicopter was also off the Charlie helicopter pad. The fact the drone could not be seen by the pilots in the air is what makes this activity so extremely dangerous this close to an airport.",,,,"Commercial drone operator reported observing a drone operating in the approach path of PDK airport and causing traffic conflict with aircraft. Tower was notified and made aware of the drone's location.",
